113 2
_ 4 8
w 0.5 1
w 1 4
s 1.5 1
s 1 2
a 0.5 1
a 1 2
w 1.5 1
w 0.5 1
a 1.5 1
s 1 1
_ 1 1
w 0.5 1
w 1 4
s 1.5 1
s 1 2
a 0.5 1
a 1 2
w 1.5 1
w 0.5 1
a 1.5 1
s 1 1
_ 1 1
_ 4 8
w 0.5 1
w 1 4
s 1.5 1
s 1 2
a 0.5 1
a 1 2
w 1.5 1
w 0.5 1
a 1.5 1
s 1 1
_ 1 1
w 0.5 1
w 1 4
s 1.5 1
s 1 2
a 0.5 1
a 1 2
w 1.5 1
w 0.5 1
a 1.5 1
s 1 1
_ 1 1
_ 4 1
s 0.5 1
s 1 1
w 1 1
s 1.5 1
_ 4 1
d 0.5 1
w 1 1
d 1 2
d 4.5 1
_ 1.5 1
s 2.5 1
a 2 1
_ 2 1
_ 4 9
w 0.5 1
w 1 4
s 1.5 1
s 1 2
a 0.5 1
a 1 2
w 1.5 1
w 0.5 1
a 1.5 1
s 1 1
_ 1 1
w 0.5 1
w 1 4
s 1.5 1
s 1 2
a 0.5 1
a 1 2
w 1.5 1
w 0.5 1
a 1.5 1
s 1 1
_ 1 1
_ 4 24
w 0.5 1
w 1 4
s 1.5 1
s 1 2
a 0.5 1
a 1 2
w 1.5 1
w 0.5 1
a 1.5 1
s 1 1
_ 1 1
w 0.5 1
w 1 4
s 1.5 1
s 1 2
a 0.5 1
a 1 2
w 1.5 1
w 0.5 1
a 1.5 1
s 1 1
_ 1 1
_ 4 8
w 0.5 1
w 1 4
s 1.5 1
s 1 2
a 0.5 1
a 1 2
w 1.5 1
w 0.5 1
a 1.5 1
s 1 1
_ 1 1
w 0.5 1
w 1 4
s 1.5 1
s 1 2
a 0.5 1
a 1 2
w 1.5 1
w 0.5 1
a 1.5 1
s 1 1
_ 1 1
_ 4 9
