124 2
_ 4 6
_ 1 1
d 1 1
w 1 1
s 1 2
a 0.5 1
s 1.5 1
_ 1 2
s 1 2
s 0.5 1
d 1 1
s 0.5 2
w 0.5 1
_ 1 3
d 1 1
w 1 1
s 1 1
a 1 1
s 0.5 1
a 1 1
_ 1 3
a 0.5 1
s 1.5 1
s 0.5 1
d 1 1
s 0.5 1
w 0.5 1
_ 1 3
w 1 1
d 1 2
w 1 1
s 0.5 1
a 1.5 1
_ 1 2
a 1 1
d 1 2
w 1 1
s 1 1
a 1 4
w 1 1
s 1 1
a 1 1
_ 1 2
d 1 1
w 1 1
s 1 2
w 0.5 1
a 1.5 1
_ 1 3
_ 1 3
d 0.5 1
w 1.5 1
_ 1 2
d 0.5 1
w 1.5 1
_ 1 2
w 1 1
w 0.5 1
s 1.5 1
s 1 1
w 0.5 1
a 1.5 1
_ 1 2
d 0.5 1
w 1.5 1
_ 1 2
d 0.5 1
w 1.5 1
_ 1 2
w 0.5 2
w 1 1
s 0.5 1
s 1.5 1
w 0.5 1
a 1.5 1
_ 1 3
_ 4 5
_ 1 1
d 1 1
w 1 1
s 1 1
a 1 1
s 1 1
a 1 1
_ 1 2
a 1 1
s 1 1
s 0.5 1
d 1 1
s 0.5 2
w 0.5 1
_ 1 3
d 1 1
w 1 1
s 1 1
a 1 1
s 0.5 1
a 1 1
_ 1 3
a 0.5 1
s 1 1
s 0.5 2
d 1 1
s 0.5 1
w 0.5 1
_ 1 3
w 1 1
d 1 2
w 1 1
s 0.5 1
a 1.5 1
_ 1 2
a 1 1
d 1 2
w 1 1
s 1 1
a 1 4
w 1 1
s 1 1
a 1 1
_ 1 2
d 1 1
w 1 1
s 1 2
w 0.5 1
a 1.5 1
_ 1 3
_ 1 3
d 0.5 1
w 1.5 1
_ 1 2
d 0.5 1
w 1.5 1
_ 1 2
w 1 1
w 0.5 1
s 1.5 1
s 1 1
w 0.5 1
a 1.5 1
_ 1 2
d 0.5 1
w 1.5 1
_ 1 2
d 0.5 1
w 1.5 1
_ 1 2
w 0.5 2
w 1 1
s 0.5 1
s 1.5 1
w 0.5 1
a 1.5 1
_ 1 3
_ 4 6
_ 1 3
d 0.5 1
w 1.5 1
_ 1 2
d 0.5 1
w 1.5 1
_ 1 2
w 1 1
w 0.5 1
s 1.5 1
s 1 1
w 0.5 1
a 1.5 1
_ 1 2
d 0.5 1
w 1.5 1
_ 1 2
d 0.5 1
w 1.5 1
_ 1 2
w 0.5 2
w 1 1
s 0.5 1
s 1.5 1
w 0.5 1
a 1.5 1
_ 1 3
_ 4 7
_ 1 1
d 3 1
d 4 1
a 4 1
a 3 1
_ 1 2
d 3 1
d 4 1
w 2 1
s 2 1
s 3 1
_ 1 2
d 3 1
d 4 1
a 4 1
a 3 1
_ 1 2
d 3 1
d 4 1
w 2 1
s 2 1
s 3 1
_ 1 2
d 3 1
d 4 1
a 4 1
a 3 1
_ 1 2
d 3 1
d 4 1
w 2 1
s 2 1
s 3 1
_ 1 2
d 3 1
d 4 1
a 4 1
a 3 1
_ 1 2
d 3 1
d 4 1
w 2 1
s 2 1
s 3 1
_ 1 2
d 3 1
d 4 1
a 4 1
a 3 1
_ 1 2
d 3 1
d 4 1
w 2 1
s 2 1
s 3 1
_ 1 1
_ 4 1
