109 2
_ 4 8
w 4 1
s 0.5 1
a 1.5 1
_ 1 1
w 1 1
d 1 1
d 1.5 1
a 1 1
_ 0.5 1
_ 4 1
w 3.5 1
s 0.5 1
a 1.5 1
_ 2 1
s 0.5 1
d 3 1
s 0.5 1
a 0.5 1
_ 4 1
_ 0.5 1
d 1 2
d 1.5 1
d 1 2
a 1 1
w 0.5 1
s 2 1
s 0.5 1
a 0.5 1
s 1 1
a 1 1
_ 3 1
a 0.5 1
d 1 1
w 0.5 1
d 1 1
w 0.5 1
s 2 1
_ 2 1
s 3.5 1
s 1 1
a 0.5 1
w 1 1
_ 3 1
_ 1.5 1
w 0.5 2
w 1 1
d 1 1
w 1 1
s 1 1
w 1.5 1
_ 1.5 1
w 0.5 4
d 1.5 1
w 1 1
_ 2 2
w 0.5 3
d 1 2
w 1 1
s 1.5 1
_ 2 1
w 0.5 3
w 8.5 1
a 0.5 1
_ 3.5 1
_ 4 2
d 4.5 1
d 1 1
_ 1.5 1
d 0.5 1
w 2 1
w 1 1
s 1 1
a 1 1
w 1 1
_ 2.5 1
_ 1 1
d 1 1
w 1 1
_ 1 1
s 1 1
_ 2 1
w 0.5 2
d 0.5 1
w 0.5 2
s 2.5 1
a 1 1
_ 3 1
_ 1.5 1
w 0.5 1
w 1 1
d 2.5 1
d 1.5 1
d 1 1
d 3 1
_ 0.5 1
s 0.5 1
a 1 1
_ 3 1
_ 1 1
d 1 1
d 0.5 1
w 1.5 1
s 0.5 1
s 1.5 1
a 1 1
_ 1 1
w 0.5 1
s 0.5 1
w 1 2
w 0.5 1
d 1.5 1
_ 3 1
_ 1.5 1
w 0.5 2
w 1 1
d 1 1
w 1 1
s 1 1
w 1.5 1
_ 1.5 1
w 0.5 4
d 2.5 1
_ 2 2
w 0.5 3
d 1 2
w 1 1
s 1.5 1
_ 2 1
w 0.5 2
w 1 1
w 11 1
w 0.5 1
_ 0.5 1
_ 4 14
_ 1.5 1
w 0.5 2
w 1 1
d 1 1
w 1 1
s 1 1
w 1.5 1
_ 1.5 1
w 0.5 4
d 2.5 1
_ 2 1
_ 1.5 1
w 0.5 4
d 1 1
w 1 1
s 1 1
a 1.5 1
_ 2 1
a 1 1
s 1 1
d 4 1
w 4 1
d 4 2
w 2 1
s 1 1
a 1 1
_ 1.5 1
s 0.5 2
s 1 1
s 1.5 1
_ 1.5 1
a 0.5 1
d 1 1
s 2 1
s 0.5 1
a 1 1
_ 0.5 1
_ 3 1
a 0.5 1
d 1.5 1
w 0.5 1
s 1 2
a 1.5 1
_ 3 1
d 1 1
w 1 1
_ 2 1
_ 4 1
d 1 1
w 1 1
_ 2 1
_ 3.5 1
s 0.5 1
s 1 3
_ 1 1
_ 2 1
s 1 3
d 1 1
_ 2 1
_ 3 1
a 0.5 1
a 1 1
a 0.5 1
a 1 1
_ 2 1
s 1 1
_ 0.5 1
a 0.5 2
a 1 1
s 1 1
_ 3.5 1
w 1 1
_ 0.5 1
w 0.5 2
w 1 2
_ 1.5 1
w 1 1
_ 1 1
_ 4 2
