88 2
_ 4 4
_ 0.5 1
d 0.5 1
_ 0.5 1
d 0.5 2
s 0.5 1
a 0.5 1
s 0.5 1
_ 0.5 1
d 0.5 1
_ 0.5 1
d 0.5 2
s 0.5 1
a 0.5 1
s 0.5 1
_ 0.5 1
d 1 1
d 0.5 2
s 0.5 1
a 0.5 1
s 0.5 1
_ 0.5 1
d 1 1
s 0.5 1
d 0.5 1
s 0.5 1
a 0.5 1
s 0.5 1
_ 0.5 1
w 0.5 1
_ 1 1
w 1 1
_ 1 1
w 1 1
s 0.5 1
w 1.5 1
_ 1 1
d 0.5 8
d 0.5 3
d 1 1
_ 1.5 1
_ 4 4
_ 0.5 1
d 0.5 4
s 0.5 1
a 0.5 1
s 0.5 1
_ 0.5 1
d 1 1
d 0.5 2
s 0.5 1
a 0.5 1
s 0.5 1
_ 0.5 1
d 1 1
a 0.5 1
d 0.5 1
s 0.5 1
a 0.5 1
s 0.5 1
_ 0.5 1
d 1 1
a 0.5 1
d 0.5 1
s 0.5 1
a 0.5 1
s 0.5 1
_ 0.5 1
w 0.5 1
w 1 2
_ 1 1
w 0.5 1
w 1 1
w 1.5 1
_ 1 1
d 0.5 8
d 0.5 3
d 1 1
_ 0.5 1
a 0.5 2
d 0.5 1
w 0.5 1
_ 2 1
w 1 1
s 0.5 1
a 0.5 1
_ 2 1
a 0.5 1
s 0.5 1
s 0.5 1
_ 3.5 1
_ 4 3
_ 0.5 1
d 0.5 4
s 0.5 1
a 0.5 1
s 0.5 1
_ 0.5 1
d 1 1
d 0.5 2
s 0.5 1
a 0.5 1
s 0.5 1
_ 0.5 1
d 1 1
s 0.5 1
d 0.5 1
s 0.5 1
a 0.5 1
s 0.5 1
_ 0.5 1
d 1 1
s 0.5 1
d 0.5 1
s 0.5 1
a 0.5 1
s 0.5 1
_ 0.5 1
w 1 1
_ 0.5 1
w 0.5 1
_ 0.5 1
s 0.5 1
w 1.5 1
s 0.5 1
w 1.5 1
_ 1 1
d 0.5 8
d 0.5 3
d 1 1
_ 0.5 1
a 0.5 2
d 0.5 1
w 0.5 1
_ 2 1
w 1 1
s 0.5 1
a 0.5 1
_ 2 1
a 0.5 1
s 0.5 1
s 0.5 1
_ 3.5 1
_ 3 1
d 1 1
_ 4 3
_ 2.5 1
w 1 1
_ 0.5 1
_ 2 1
a 0.5 1
_ 1.5 1
_ 2 1
a 0.5 1
_ 1.5 1
_ 2 1
a 0.5 1
_ 1.5 1
_ 2 1
a 0.5 1
_ 1.5 1
_ 4 2
_ 0.5 1
d 0.5 4
s 0.5 1
a 0.5 1
s 0.5 1
_ 0.5 1
d 1 1
d 0.5 2
s 0.5 1
a 0.5 1
s 0.5 1
_ 0.5 1
d 1 1
s 0.5 1
d 0.5 1
s 0.5 1
a 0.5 1
s 0.5 1
_ 0.5 1
d 1 1
s 0.5 1
d 0.5 1
s 0.5 1
a 0.5 1
s 0.5 1
_ 0.5 1
w 1 1
s 0.5 1
w 1 1
s 0.5 1
w 1.5 1
s 0.5 1
w 0.5 1
_ 2 1
d 0.5 8
d 0.5 3
d 1 1
_ 0.5 1
a 0.5 2
d 0.5 1
w 0.5 1
_ 2 1
w 1 1
s 0.5 1
a 0.5 1
_ 2 1
a 0.5 1
s 0.5 1
s 0.5 1
_ 3.5 1
_ 4 2
_ 3 1
d 1 1
_ 4 2
_ 1 1
w 0.5 2
s 0.5 1
a 0.5 1
_ 1 1
_ 1 1
a 0.5 1
_ 2.5 1
_ 1 1
w 0.5 2
s 0.5 1
a 0.5 1
_ 1 1
a 0.5 1
_ 3.5 1
_ 1 1
w 0.5 2
s 0.5 1
a 0.5 1
_ 1 1
a 0.5 1
_ 3.5 1
_ 1 1
w 0.5 2
s 0.5 1
a 0.5 1
_ 1 1
a 0.5 1
_ 3.5 1
_ 1 1
w 0.5 2
s 0.5 1
a 0.5 1
_ 1 1
d 1 1
_ 3 1
_ 1 1
w 0.5 2
s 0.5 1
a 0.5 1
_ 1 1
d 3 1
_ 1 1
_ 1 1
w 0.5 2
s 0.5 1
a 0.5 1
_ 1 1
d 3 1
_ 1 1
_ 1 1
a 1 1
_ 2 1
_ 4 1
_ 1 1
w 0.5 2
s 0.5 1
a 0.5 1
_ 1 1
a 0.5 1
_ 3.5 1
_ 1 1
w 0.5 2
s 0.5 1
a 0.5 1
_ 1 1
d 3 1
_ 1 1
