63 2
_ 4 1
a 1 1
a 0.5 1
s 1 1
a 1.5 1
w 1 1
w 0.5 1
s 1 1
a 1 1
_ 0.5 1
w 1 1
w 0.5 1
s 1 1
a 1 1
_ 0.5 1
s 1 1
s 0.5 1
a 1.5 1
_ 1 1
a 1 1
a 0.5 1
s 1 1
a 1.5 1
w 1 1
w 0.5 1
s 1 1
a 1 1
_ 0.5 1
w 1 1
w 0.5 1
w 1 1
s 0.5 2
a 1 1
w 1 1
a 0.5 1
_ 0.5 1
d 0.5 1
d 1 2
_ 3 1
s 1 1
s 0.5 1
s 1 1
a 0.5 1
s 0.5 1
w 1.5 1
_ 1.5 1
w 0.5 1
d 0.5 1
w 1.5 1
_ 3 1
s 1 1
s 0.5 1
s 1 1
s 0.5 2
w 1.5 1
_ 1.5 1
w 0.5 1
d 0.5 1
w 1.5 1
_ 1.5 1
w 0.5 1
d 0.5 1
w 1.5 1
_ 1.5 1
w 0.5 1
d 2 1
w 3 1
_ 4 1
a 1 1
a 0.5 1
s 1 1
a 1.5 1
w 1 1
w 0.5 1
s 1 1
a 1 1
_ 0.5 1
w 1 1
w 0.5 1
s 1 1
a 1 1
_ 0.5 1
s 1 1
s 0.5 1
a 1.5 1
_ 1 1
a 1 1
a 0.5 1
s 1 1
a 1.5 1
w 1 1
w 0.5 1
s 1 1
a 1 1
_ 0.5 1
s 1 1
w 0.5 1
w 1 1
w 0.5 1
w 1.5 1
w 0.5 2
w 1.5 1
_ 1 1
_ 4 7
_ 2.5 1
w 0.5 1
w 1 2
_ 3 1
s 1 1
s 0.5 1
s 1 1
s 0.5 2
w 1.5 1
_ 1.5 1
w 0.5 1
d 0.5 1
w 1.5 1
_ 3 1
s 1 1
s 0.5 1
s 1 1
s 0.5 2
w 1.5 1
_ 1.5 1
w 0.5 1
d 1 1
w 1 1
_ 1.5 1
w 0.5 1
d 1 1
w 1 1
_ 1.5 1
w 0.5 1
d 2 1
w 3 1
_ 4 8
_ 2.5 1
w 0.5 1
w 1 1
d 2 1
w 2 1
s 1 1
s 0.5 1
s 1 1
s 0.5 2
w 1.5 1
_ 1.5 1
w 0.5 1
d 1 1
w 2 1
_ 2 1
s 1 1
s 0.5 1
s 1 1
a 0.5 1
s 0.5 1
w 1.5 1
_ 1.5 1
w 0.5 1
d 1 1
w 1 1
_ 1.5 1
w 0.5 1
d 1 1
w 1 1
_ 1.5 1
w 0.5 1
d 2 1
w 3 1
_ 4 1
